,Date,00:00-09:00,09:00-18:00,18:00-00:00,day_of_the_week
465,2022-04-10,60.0,41.25,41.0,6
466,2022-04-11,73.0,32.0,42.25,0
467,2022-04-12,73.25,23.75,42.25,1
468,2022-04-13,65.0,31.75,39.25,2
469,2022-04-14,63.25,24.75,42.0,3
470,2022-04-15,59.0,27.75,39.0,4
471,2022-04-16,54.75,42.25,38.75,5
472,2022-04-17,58.75,34.0,37.25,6
473,2022-04-18,55.75,41.0,38.0,0
474,2022-04-19,59.0,23.75,38.0,1
475,2022-04-20,55.0,27.76,39.0,2
476,2022-04-21,60.0,52.76,40.0,3
477,2022-04-22,65.0,43.99,37.99,4
478,2022-04-23,52.22,42.78,37.0,5
479,2022-04-24,55.78,50.0,40.0,6
480,2022-04-25,54.82,40.0,36.17,0
481,2022-04-26,57.16,29.0,37.84,1
482,2022-04-27,53.84,30.0,37.0,2
483,2022-04-28,54.85,30.0,36.0,3
484,2022-04-29,54.86,33.0,36.14,4
485,2022-04-30,53.86,46.0,36.0,5
486,2022-05-01,57.86,24.0,37.0,6
487,2022-05-02,57.86,31.0,40.14,0
488,2022-05-03,53.0,23.14,37.86,1
489,2022-05-04,58.0,37.86,39.0,2
490,2022-05-05,64.0,61.0,41.0,3
491,2022-05-06,61.14,59.86,41.0,4
492,2022-05-07,55.86,20.13,38.87,5
493,2022-05-08,54.87,24.0,37.0,6
494,2022-05-09,52.87,23.13,36.0,0
495,2022-05-10,51.0,28.0,35.0,1
496,2022-05-11,51.87,30.0,37.12,2
497,2022-05-12,51.0,27.0,37.0,3
498,2022-05-13,51.88,34.0,35.0,4
499,2022-05-14,51.89,43.0,34.11,5
500,2022-05-15,51.89,42.0,34.1,6
501,2022-05-16,51.0,34.94,38.06,0
502,2022-05-17,51.06,34.0,39.0,1
503,2022-05-18,51.06,34.0,36.0,2
504,2022-05-19,51.06,29.92,40.08,3
505,2022-05-20,51.08,22.0,36.87,4
506,2022-05-21,52.0,44.0,34.0,5
507,2022-05-22,51.14,41.0,36.86,6
508,2022-05-23,52.0,42.0,36.85,0
509,2022-05-24,51.0,31.85,37.0,1
510,2022-05-25,51.93,68.92,41.15,2
511,2022-05-26,61.0,67.0,37.15,3
512,2022-05-27,53.15,82.85,42.0,4
513,2022-05-28,51.0,36.0,39.0,5
514,2022-05-29,52.15,41.0,35.85,6
515,2022-05-30,54.0,49.85,38.15,0
516,2022-05-31,53.15,73.85,47.0,1
517,2022-06-01,63.15,45.85,45.15,2
518,2022-06-02,63.15,39.0,44.0,3
519,2022-06-03,65.15,40.85,48.0,4
520,2022-06-04,69.0,23.0,47.85,5
521,2022-06-05,69.85,33.15,49.0,6
522,2022-06-06,65.15,87.84,47.16,0
523,2022-06-07,64.16,79.84,47.0,1
524,2022-06-08,64.0,97.0,49.0,2
525,2022-06-09,70.16,92.84,45.0,3
526,2022-06-10,65.16,24.0,43.0,4
527,2022-06-11,64.16,56.0,44.0,5
528,2022-06-12,79.0,78.0,54.0,6
529,2022-06-13,80.0,89.0,46.16,0
530,2022-06-14,66.16,54.84,46.99,1
531,2022-06-15,67.83,103.0,52.0,2
532,2022-06-16,63.17,54.83,46.0,3
533,2022-06-17,64.17,105.91,49.05,4
534,2022-06-18,64.04,0.33,45.0,5
535,2022-06-19,65.67,2.0,43.33,6
536,2022-06-20,66.0,84.32,51.68,0
537,2022-06-21,67.0,105.0,52.0,1
538,2022-06-22,65.67,108.33,45.67,2
539,2022-06-23,65.67,139.33,52.0,3
540,2022-06-24,70.33,145.99,47.0,4
541,2022-06-25,75.0,8.68,44.0,5
542,2022-06-26,65.69,4.0,47.31,6
543,2022-06-27,66.69,157.31,55.0,0
544,2022-06-28,67.69,144.3,50.0,1
545,2022-06-29,69.7,3.0,45.3,2
546,2022-06-30,68.0,107.3,51.7,3
547,2022-07-01,67.71,77.0,46.0,4
548,2022-07-02,66.71,0.0,47.28,5
549,2022-07-03,67.0,8.28,51.99,6
550,2022-07-04,88.27,166.0,52.0,0
551,2022-07-05,72.73,170.27,52.0,1
552,2022-07-06,69.73,134.55,50.72,2
553,2022-07-07,72.0,133.27,55.73,3
554,2022-07-08,68.73,44.27,48.0,4
555,2022-07-09,66.73,1.0,45.27,5
556,2022-07-10,67.73,1.27,48.0,6
557,2022-07-11,68.73,106.27,51.98,0
558,2022-07-12,68.0,103.0,47.75,1
559,2022-07-13,69.0,95.0,47.99,2
560,2022-07-14,69.76,119.24,59.76,3
561,2022-07-15,83.0,99.0,50.0,4
562,2022-07-16,67.76,1.0,46.0,5
563,2022-07-17,69.76,42.24,57.76,6
564,2022-07-18,79.76,149.24,49.99,0
565,2022-07-19,72.23,169.99,49.78,1
566,2022-07-20,69.99,128.21,71.79,2
567,2022-07-21,92.0,119.0,50.79,3
568,2022-07-22,71.0,142.2,59.79,4
569,2022-07-23,69.8,1.0,49.2,5
570,2022-07-24,69.8,2.0,47.18,6
571,2022-07-25,87.35,182.99,58.83,0
572,2022-07-26,78.17,194.97,57.84,1
573,2022-07-27,81.13,145.0,58.86,2
574,2022-07-28,77.0,173.14,86.86,3
575,2022-07-29,95.86,122.28,52.86,4
576,2022-07-30,73.0,5.0,48.0,5
577,2022-07-31,69.86,3.14,48.0,6
578,2022-08-01,71.0,147.13,60.87,0
579,2022-08-02,73.14,130.13,58.87,1
580,2022-08-03,76.0,137.0,55.0,2
581,2022-08-04,75.0,124.13,54.87,3
582,2022-08-05,72.86,76.13,50.0,4
583,2022-08-06,69.0,2.87,51.0,5
584,2022-08-07,69.87,2.13,48.0,6
585,2022-08-08,80.12,17.0,49.0,0
586,2022-08-09,74.88,58.0,51.0,1
587,2022-08-10,70.88,11.0,47.12,2
588,2022-08-11,70.88,9.0,49.12,3
589,2022-08-12,74.0,19.88,48.12,4
590,2022-08-13,76.88,9.0,47.12,5
591,2022-08-14,68.88,1.0,48.11,6
592,2022-08-15,70.89,4.0,50.11,0
593,2022-08-16,72.0,3.89,50.11,1
594,2022-08-17,72.11,5.0,53.0,2
595,2022-08-18,77.0,39.89,55.11,3
596,2022-08-19,76.89,48.0,48.11,4
597,2022-08-20,72.89,12.0,51.11,5
598,2022-08-21,71.0,9.0,53.0,6
599,2022-08-22,72.89,20.0,48.1,0
600,2022-08-23,72.0,44.9,51.1,1
601,2022-08-24,73.0,14.1,49.0,2
