ID,Date,Consumption
232,2022-01-08 00:00:00 -> 2022-01-08 23:55:00,48.00
233,2022-01-09 00:00:00 -> 2022-01-09 23:55:00,12.00
234,2022-01-10 00:00:00 -> 2022-01-10 23:55:00,34.00
235,2022-01-11 00:00:00 -> 2022-01-11 23:55:00,38.00
236,2022-01-12 00:00:00 -> 2022-01-12 23:55:00,47.00
237,2022-01-13 00:00:00 -> 2022-01-13 23:55:00,53.00
238,2022-01-14 00:00:00 -> 2022-01-14 23:55:00,52.00
239,2022-01-15 00:00:00 -> 2022-01-15 23:55:00,50.00
240,2022-01-16 00:00:00 -> 2022-01-16 23:55:00,51.00
241,2022-01-17 00:00:00 -> 2022-01-17 23:55:00,52.00
242,2022-01-18 00:00:00 -> 2022-01-18 23:55:00,51.00
243,2022-01-19 00:00:00 -> 2022-01-19 23:55:00,45.00
244,2022-01-20 00:00:00 -> 2022-01-20 23:55:00,24.00
245,2022-01-21 00:00:00 -> 2022-01-21 23:55:00,54.00
246,2022-01-22 00:00:00 -> 2022-01-22 23:55:00,58.00
247,2022-01-23 00:00:00 -> 2022-01-23 23:55:00,55.00
248,2022-01-24 00:00:00 -> 2022-01-24 23:55:00,59.00
249,2022-01-25 00:00:00 -> 2022-01-25 23:55:00,60.00
250,2022-01-26 00:00:00 -> 2022-01-26 23:55:00,42.00
251,2022-01-27 00:00:00 -> 2022-01-27 23:55:00,53.00
252,2022-01-28 00:00:00 -> 2022-01-28 23:55:00,38.00
253,2022-01-29 00:00:00 -> 2022-01-29 23:55:00,62.00
254,2022-01-30 00:00:00 -> 2022-01-30 23:55:00,48.00
255,2022-01-31 00:00:00 -> 2022-01-31 23:55:00,10.00
256,2022-02-01 00:00:00 -> 2022-02-01 23:55:00,64.00
257,2022-02-02 00:00:00 -> 2022-02-02 23:55:00,65.00
258,2022-02-03 00:00:00 -> 2022-02-03 23:55:00,64.00
259,2022-02-04 00:00:00 -> 2022-02-04 23:55:00,18.00
260,2022-02-05 00:00:00 -> 2022-02-05 23:55:00,44.00
261,2022-02-06 00:00:00 -> 2022-02-06 23:55:00,66.00
262,2022-02-07 00:00:00 -> 2022-02-07 23:55:00,50.00
263,2022-02-08 00:00:00 -> 2022-02-08 23:55:00,72.00
264,2022-02-09 00:00:00 -> 2022-02-09 23:55:00,69.00
265,2022-02-10 00:00:00 -> 2022-02-10 23:55:00,72.00
266,2022-02-11 00:00:00 -> 2022-02-11 23:55:00,65.00
267,2022-02-12 00:00:00 -> 2022-02-12 23:55:00,69.00
268,2022-02-13 00:00:00 -> 2022-02-13 23:55:00,56.00
269,2022-02-14 00:00:00 -> 2022-02-14 23:55:00,35.00
270,2022-02-15 00:00:00 -> 2022-02-15 23:55:00,41.00
271,2022-02-16 00:00:00 -> 2022-02-16 23:55:00,65.00
272,2022-02-17 00:00:00 -> 2022-02-17 23:55:00,67.00
273,2022-02-18 00:00:00 -> 2022-02-18 23:55:00,32.00
274,2022-02-19 00:00:00 -> 2022-02-19 23:55:00,52.00
275,2022-02-20 00:00:00 -> 2022-02-20 23:55:00,49.00
276,2022-02-21 00:00:00 -> 2022-02-21 23:55:00,58.00
277,2022-02-22 00:00:00 -> 2022-02-22 23:55:00,89.00
278,2022-02-23 00:00:00 -> 2022-02-23 23:55:00,88.00
279,2022-02-24 00:00:00 -> 2022-02-24 23:55:00,81.00
280,2022-02-25 00:00:00 -> 2022-02-25 23:55:00,68.00
281,2022-02-26 00:00:00 -> 2022-02-26 23:55:00,65.00
282,2022-02-27 00:00:00 -> 2022-02-27 23:55:00,88.00
283,2022-02-28 00:00:00 -> 2022-02-28 23:55:00,91.00
284,2022-03-01 00:00:00 -> 2022-03-01 23:55:00,90.00
285,2022-03-02 00:00:00 -> 2022-03-02 23:55:00,96.00
286,2022-03-03 00:00:00 -> 2022-03-03 23:55:00,62.00
287,2022-03-04 00:00:00 -> 2022-03-04 23:55:00,68.00
288,2022-03-05 00:00:00 -> 2022-03-05 23:55:00,97.00
289,2022-03-06 00:00:00 -> 2022-03-06 23:55:00,92.00
290,2022-03-07 00:00:00 -> 2022-03-07 23:55:00,83.00
291,2022-03-08 00:00:00 -> 2022-03-08 23:55:00,105.00
292,2022-03-09 00:00:00 -> 2022-03-09 23:55:00,105.00
293,2022-03-10 00:00:00 -> 2022-03-10 23:55:00,104.00
294,2022-03-11 00:00:00 -> 2022-03-11 23:55:00,85.00
295,2022-03-12 00:00:00 -> 2022-03-12 23:55:00,92.00
296,2022-03-13 00:00:00 -> 2022-03-13 23:55:00,105.00
297,2022-03-14 00:00:00 -> 2022-03-14 23:55:00,103.00
298,2022-03-15 00:00:00 -> 2022-03-15 23:55:00,98.00
299,2022-03-16 00:00:00 -> 2022-03-16 23:55:00,96.00
300,2022-03-17 00:00:00 -> 2022-03-17 23:55:00,76.00
301,2022-03-18 00:00:00 -> 2022-03-18 23:55:00,58.00
302,2022-03-19 00:00:00 -> 2022-03-19 23:55:00,44.00
303,2022-03-20 00:00:00 -> 2022-03-20 23:55:00,106.00
304,2022-03-21 00:00:00 -> 2022-03-21 23:55:00,111.00
305,2022-03-22 00:00:00 -> 2022-03-22 23:55:00,111.00
306,2022-03-23 00:00:00 -> 2022-03-23 23:55:00,112.00
307,2022-03-24 00:00:00 -> 2022-03-24 23:55:00,111.00
308,2022-03-25 00:00:00 -> 2022-03-25 23:55:00,111.00
309,2022-03-26 00:00:00 -> 2022-03-26 23:55:00,89.00
310,2022-03-27 00:00:00 -> 2022-03-27 23:55:00,74.00
311,2022-03-28 00:00:00 -> 2022-03-28 23:55:00,90.00
312,2022-03-29 00:00:00 -> 2022-03-29 23:55:00,100.00
313,2022-03-30 00:00:00 -> 2022-03-30 23:55:00,14.00
314,2022-03-31 00:00:00 -> 2022-03-31 23:55:00,35.00
315,2022-04-01 00:00:00 -> 2022-04-01 23:55:00,44.00
316,2022-04-02 00:00:00 -> 2022-04-02 23:55:00,54.00
317,2022-04-03 00:00:00 -> 2022-04-03 23:55:00,88.00
318,2022-04-04 00:00:00 -> 2022-04-04 23:55:00,82.00
319,2022-04-05 00:00:00 -> 2022-04-05 23:55:00,127.00
320,2022-04-06 00:00:00 -> 2022-04-06 23:55:00,42.00
321,2022-04-07 00:00:00 -> 2022-04-07 23:55:00,94.00
322,2022-04-08 00:00:00 -> 2022-04-08 23:55:00,65.00
323,2022-04-09 00:00:00 -> 2022-04-09 23:55:00,65.00
324,2022-04-10 00:00:00 -> 2022-04-10 23:55:00,132.00
325,2022-04-11 00:00:00 -> 2022-04-11 23:55:00,131.00
326,2022-04-12 00:00:00 -> 2022-04-12 23:55:00,123.00
327,2022-04-13 00:00:00 -> 2022-04-13 23:55:00,103.00
328,2022-04-14 00:00:00 -> 2022-04-14 23:55:00,113.00
329,2022-04-15 00:00:00 -> 2022-04-15 23:55:00,113.00
330,2022-04-16 00:00:00 -> 2022-04-16 23:55:00,129.00
331,2022-04-17 00:00:00 -> 2022-04-17 23:55:00,115.00
332,2022-04-18 00:00:00 -> 2022-04-18 23:55:00,137.00
333,2022-04-19 00:00:00 -> 2022-04-19 23:55:00,134.00
334,2022-04-20 00:00:00 -> 2022-04-20 23:55:00,106.00
335,2022-04-21 00:00:00 -> 2022-04-21 23:55:00,39.00
336,2022-04-22 00:00:00 -> 2022-04-22 23:55:00,84.00
337,2022-04-23 00:00:00 -> 2022-04-23 23:55:00,129.00
