ID,Date,D_kilowatt_cons
781,2023-07-11,144.0
782,2023-07-12,134.0
783,2023-07-13,118.0
784,2023-07-14,140.0
785,2023-07-15,141.0
786,2023-07-16,135.0
787,2023-07-17,133.0
788,2023-07-18,132.0
789,2023-07-19,134.0
790,2023-07-20,130.0
791,2023-07-21,116.0
792,2023-07-22,0.0
793,2023-07-23,0.0
794,2023-07-24,99.0
795,2023-07-25,102.0
796,2023-07-26,108.0
797,2023-07-27,125.0
798,2023-07-28,123.0
799,2023-07-29,130.0
800,2023-07-30,123.0
801,2023-07-31,121.0
802,2023-08-01,121.0
803,2023-08-02,122.0
804,2023-08-03,118.0
805,2023-08-04,78.0
806,2023-08-05,87.0
807,2023-08-06,136.0
808,2023-08-07,136.0
809,2023-08-08,125.0
810,2023-08-09,137.0
811,2023-08-10,134.0
812,2023-08-11,130.0
813,2023-08-12,134.0
814,2023-08-13,134.0
815,2023-08-14,132.0
816,2023-08-15,129.0
817,2023-08-16,122.0
818,2023-08-17,124.0
819,2023-08-18,88.0
820,2023-08-19,123.0
821,2023-08-20,114.0
822,2023-08-21,118.0
823,2023-08-22,119.0
824,2023-08-23,118.0
825,2023-08-24,118.0
826,2023-08-25,117.0
827,2023-08-26,120.0
828,2023-08-27,112.0
829,2023-08-28,88.0
830,2023-08-29,16.0
831,2023-08-30,92.0
832,2023-08-31,113.0
833,2023-09-01,115.0
834,2023-09-02,116.0
835,2023-09-03,116.0
836,2023-09-04,111.0
837,2023-09-05,118.0
838,2023-09-06,114.0
839,2023-09-07,112.0
840,2023-09-08,109.0
841,2023-09-09,107.0
842,2023-09-10,109.0
843,2023-09-11,109.0
844,2023-09-12,109.0
845,2023-09-13,77.0
846,2023-09-14,81.0
847,2023-09-15,92.0
848,2023-09-16,62.0
849,2023-09-17,83.0
850,2023-09-18,71.0
851,2023-09-19,88.0
852,2023-09-20,45.0
853,2023-09-21,53.0
854,2023-09-22,56.0
855,2023-09-23,78.0
856,2023-09-24,94.0
857,2023-09-25,91.0
858,2023-09-26,92.0
859,2023-09-27,56.0
860,2023-09-28,87.0
861,2023-09-29,90.0
862,2023-09-30,90.0
863,2023-10-01,84.0
864,2023-10-02,87.0
865,2023-10-03,86.0
866,2023-10-04,85.0
867,2023-10-05,60.0
868,2023-10-06,82.0
869,2023-10-07,79.0
870,2023-10-08,80.0
871,2023-10-09,77.0
872,2023-10-10,78.0
873,2023-10-11,77.0
874,2023-10-12,77.0
875,2023-10-13,71.0
876,2023-10-14,0.0
877,2023-10-15,0.0
878,2023-10-16,30.0
879,2023-10-17,74.0
